150万,单价15354元/平米,南向三房出售 户型方正 采光好,番禺人民医院宿舍 , | 3室1厅 | 97.7平米 | 南 | 简装 | 无电梯,高楼层(共9层)1995年建塔楼  -  ,1695人关注 / 共7次带看 / 3个月以前发布,
380万,单价27677元/平米,丽江花园华林居 3室2厅 380万,丽江花园华林居 , | 3室2厅 | 137.3平米 | 东南 | 简装 | 无电梯,高楼层(共6层)塔楼  -  ,2人关注 / 共0次带看 / 3天以前发布,
210万,单价21898元/平米,绿庭雅苑 3室2厅 210万,绿庭雅苑 , | 3室2厅 | 95.9平米 | 南 | 精装 | 无电梯,高楼层(共7层)2005年建塔楼  -  ,187人关注 / 共2次带看 / 3个月以前发布,
230万,单价26107元/平米,大夫山旁生态园，标准三房，精装房，满五年唯一出售,锦绣生态园倚翠苑 , | 3室2厅 | 88.1平米 | 南 | 简装 | 无电梯,中楼层(共6层)2004年建塔楼  -  ,10人关注 / 共6次带看 / 16天以前发布,
182万,单价22061元/平米,富丽家园 小区环境 中楼层 方正三房,富丽家园朝阳东路 , | 3室1厅 | 82.5平米 | 南 | 精装 | 无电梯,中楼层(共7层)1998年建塔楼  -  ,2人关注 / 共0次带看 / 5天以前发布,
355万,单价34648元/平米,景峰三房 南向 户型方正 靓装修,富豪山庄 , | 3室2厅 | 102.46平米 | 南 | 精装 | 有电梯,中楼层(共18层)2013年建塔楼  -  ,24人关注 / 共5次带看 / 4个月以前发布,
380万,单价33381元/平米,鸿禧华庭 三房出售 户型方正,鸿禧华庭 , | 3室2厅 | 113.84平米 | 北 | 简装 | 有电梯,低楼层(共11层)2004年建塔楼  -  ,65人关注 / 共3次带看 / 9个月以前发布,
224万,单价23223元/平米,东华花园 南向三房 中等楼层 视野开阔 满两年,东华花园 , | 3室2厅 | 96.46平米 | 南 | 简装 | 无电梯,中楼层(共6层)2004年建板楼  -  ,114人关注 / 共19次带看 / 4个月以前发布,
310万,单价37350元/平米,南向大两房，过五唯一，采光好，精装修，环境优美,广州雅居乐花园雕刻时光 , | 2室2厅 | 83平米 | 西南 | 简装 | 有电梯,中楼层(共9层)2010年建塔楼  -  ,27人关注 / 共11次带看 / 1个月以前发布,
223万,单价17023元/平米,富丽家园香江商业大厦 4室2厅 223万,富丽家园香江商业大厦 , | 4室2厅 | 131平米 | 东南 | 精装 | 无电梯,高楼层(共8层)1995年建塔楼  -  ,89人关注 / 共1次带看 / 3个月以前发布,
170万,单价22478元/平米,百乐园，高楼层，采光好 方正格居,富丽家园百乐园 , | 2室1厅 | 75.63平米 | 南 | 简装 | 无电梯,高楼层(共7层)1995年建塔楼  -  ,77人关注 / 共1次带看 / 3个月以前发布,
198万,单价21508元/平米,富丽家园 精装三房 送全屋家电 业主诚心出售,富丽家园宾至路 , | 3室1厅 | 92.06平米 | 南 | 精装 | 无电梯,高楼层(共7层)1995年建塔楼  -  ,9人关注 / 共1次带看 / 10天以前发布,
225万,单价30950元/平米,丽江花园华林居 2室1厅 225万,丽江花园华林居 , | 2室1厅 | 72.7平米 | 东北 | 其他 | 无电梯,低楼层(共6层)1997年建塔楼  -  ,17人关注 / 共19次带看 / 1个月以前发布,
152万,单价19314元/平米,丹桂园 3室2厅 152万,丹桂园 , | 3室2厅 | 78.7平米 | 南 | 其他,高楼层(共5层)板楼  -  ,138人关注 / 共12次带看 / 2个月以前发布,
230万,单价26346元/平米,丽江花园丽茵楼 3室2厅 230万,丽江花园丽茵楼 , | 3室2厅 | 87.3平米 | 东北 | 简装 | 有电梯,高楼层(共9层)1993年建塔楼  -  ,4人关注 / 共0次带看 / 6天以前发布,
300万,单价33334元/平米,南国奥园 精装修三房 南北对,南国奥林匹克花园 , | 4室2厅 | 90平米 | 西南 | 精装 | 有电梯,高楼层(共19层)2006年建塔楼  -  ,113人关注 / 共3次带看 / 9个月以前发布,
268万,单价33555元/平米,祈福新村倚湖湾 精装大两房湖景单位,祈福新村倚湖湾 , | 2室1厅 | 79.87平米 | 北 | 精装 | 有电梯,低楼层(共33层)2006年建塔楼  -  ,31人关注 / 共3次带看 / 3个月以前发布,
150万,单价16009元/平米,大西路 低楼层 温馨三房 2001年楼龄 业主诚意出售,大西路 , | 3室2厅 | 93.7平米 | 南 | 简装 | 无电梯,低楼层(共6层)板楼  -  ,18人关注 / 共15次带看 / 3个月以前发布,
203万,单价26536元/平米,框架结构 省级  不靠路不靠涌,康乐园 , | 2室2厅 | 76.5平米 | 东南 南 | 简装 | 无电梯,中楼层(共7层)塔楼  -  ,597人关注 / 共7次带看 / 4个月以前发布,
358万,单价35099元/平米,湖景南向 一楼大花园四方套房 装修漂亮 很有艺术气息,祈福新村湖景居 , | 4室2厅 | 102平米 | 南 | 其他 | 无电梯,低楼层(共4层)1995年建板楼  -  ,7人关注 / 共12次带看 / 25天以前发布,
136万,单价18014元/平米,钟村商贸城 3室2厅 136万,钟村商贸城 , | 3室2厅 | 75.5平米 | 东南 | 简装 | 无电梯,低楼层(共9层)1990年建塔楼  -  ,67人关注 / 共10次带看 / 2个月以前发布,
222万,单价23713元/平米,锦绣生态园趣园 3室2厅 222万,锦绣生态园趣园 , | 3室2厅 | 93.62平米 | 北 | 精装 | 无电梯,高楼层(共6层)2005年建塔楼  -  ,68人关注 / 共9次带看 / 2个月以前发布,
180万,单价28572元/平米,祈福新村山泉居 实用两房出售,祈福新村山泉居 , | 2室2厅 | 63平米 | 北 | 其他 | 无电梯,中楼层(共6层)2004年建板楼  -  ,128人关注 / 共9次带看 / 一年前发布,
218万,单价28445元/平米,金海岸花园一期 过五年唯一物业 随时看房,金海岸花园金石碧苑 , | 2室2厅 | 76.64平米 | 南 | 精装 | 无电梯,高楼层(共6层)2002年建塔楼  -  ,42人关注 / 共15次带看 / 30天以前发布,
278万,单价29400元/平米,自在城市花园 刚需三房 精致装修,自在城市花园 , | 3室2厅 | 94.56平米 | 东北 | 精装 | 有电梯,低楼层(共10层)2004年建塔楼  -  ,23人关注 / 共9次带看 / 1个月以前发布,
300万,单价33334元/平米,南国奥园 精装修三房 南北对流,南国奥林匹克花园 , | 4室2厅 | 90平米 | 西南 | 精装 | 有电梯,高楼层(共19层)2006年建塔楼  -  ,87人关注 / 共2次带看 / 9个月以前发布,
190万,单价29052元/平米,彩虹花园东区 2室1厅 190万,彩虹花园东区 , | 2室1厅 | 65.4平米 | 南 | 简装 | 无电梯,中楼层(共7层)2000年建塔楼  -  ,76人关注 / 共0次带看 / 3个月以前发布,
310万,单价29357元/平米,迎风阁 高层三房 开阔视野 光线明亮 南北对流 有钥匙,祈福新村迎风阁 , | 3室2厅 | 105.6平米 | 东北 | 精装 | 有电梯,高楼层(共32层)2005年建塔楼  -  ,25人关注 / 共19次带看 / 3个月以前发布,
300万,单价33073元/平米,高层东南靓向，证过5年，诚意出售,尚东尚筑 , | 3室2厅 | 90.71平米 | 东南 | 精装 | 有电梯,高楼层(共18层)2008年建塔楼  -  ,9人关注 / 共9次带看 / 29天以前发布,
255万,单价32361元/平米,丽江花园九如通津 2室2厅 255万,丽江花园九如通津 , | 2室2厅 | 78.8平米 | 东北 | 其他 | 有电梯,中楼层(共11层)2000年建塔楼  -  ,5人关注 / 共14次带看 / 1个月以前发布,
216万,单价28762元/平米,75方南向小三房 位置安静 年轻人刚需选择,祈福新村青怡居 , | 3室2厅 | 75.1平米 | 南 | 精装 | 无电梯,高楼层(共5层)1995年建板楼  -  ,20人关注 / 共22次带看 / 1个月以前发布,
275万,单价30144元/平米,华南新城   北区  精装修 自住电梯实用三房,华南新城 , | 3室2厅 | 91.23平米 | 西北 | 精装 | 有电梯,中楼层(共12层)2011年建塔楼  -  ,35人关注 / 共5次带看 / 16天以前发布,
138万,单价16236元/平米,市桥 桥东路 格局方正,易富大厦 , | 2室1厅 | 85平米 | 南 | 其他 | 无电梯,高楼层(共7层)1995年建塔楼  -  ,101人关注 / 共0次带看 / 一年前发布,
362万,单价29962元/平米,亚运城 运动员 南北对流 三房望湖,亚运城运动员村三区 , | 3室2厅 | 120.82平米 | 南 | 精装,中楼层(共11层)塔楼  -  ,22人关注 / 共19次带看 / 4个月以前发布,
185万,单价25617元/平米,桥福园三房二厅二卫一厨一阳台，实用率高达95%,桥福园 , | 3室2厅 | 72.22平米 | 南 | 简装 | 无电梯,中楼层(共7层)2000年建板楼  -  ,45人关注 / 共25次带看 / 24天以前发布,
500万,单价24498元/平米,富豪山庄 复式两层 装修保养好,富豪山庄 , | 7室2厅 | 204.1平米 | 南 | 其他 | 无电梯,高楼层(共5层)2013年建板楼  -  ,131人关注 / 共0次带看 / 一年前发布,
170万,单价22610元/平米,大石富昌花园 框架方正两房 南向,富丽家园富昌花园 , | 2室1厅 | 75.19平米 | 南 北 | 简装 | 无电梯,中楼层(共9层)1995年建塔楼  -  ,28人关注 / 共11次带看 / 4个月以前发布,
165万,单价24925元/平米,丽江花园 温馨两房 电梯房,丽江花园丽茵楼 , | 2室1厅 | 66.2平米 | 东北 | 其他 | 有电梯,低楼层(共9层)1993年建塔楼  -  ,425人关注 / 共9次带看 / 4个月以前发布,
310万,单价40434元/平米,君华御府复式单位 南北对流,君华香柏御府 , | 4室2厅 | 76.67平米 | 南 北 | 其他 | 有电梯,高楼层(共32层)塔楼  -  ,25人关注 / 共0次带看 / 一年前发布,
342万,单价30000元/平米,花样年华二期 大三房诚意出售,番禺海伦堡花样年华二期 , | 3室2厅 | 114平米 | 西北 | 简装 | 有电梯,中楼层(共18层)2005年建塔楼  -  ,34人关注 / 共0次带看 / 一年前发布,
165万,单价27183元/平米,祈福新村A区 南向两房 精装修 带19方花园 位置安静,祈福新村A区 , | 2室2厅 | 60.7平米 | 南 | 精装 | 无电梯,低楼层(共4层)1995年建板楼  -  ,60人关注 / 共17次带看 / 2个月以前发布,
350万,单价46358元/平米,大二房  户型方正  单边位送超大花园  鱼池跟玻璃房,华南碧桂园芳翠苑 , | 2室2厅 | 75.5平米 | 西北 | 精装 | 无电梯,低楼层(共7层)2001年建塔楼  -  ,0人关注 / 共2次带看 / 3天以前发布,
415万,单价37445元/平米,金山谷 精装三房送入户花园、户型方正望花园 南北通透,金山谷四期 , | 3室2厅 | 110.83平米 | 南 北 | 精装 | 有电梯,高楼层(共25层)2013年建塔楼  -  ,2人关注 / 共9次带看 / 1个月以前发布,
118万,单价32778元/平米,德字楼,电梯一房 带大阳台,丽江花园德荫楼 , | 1室0厅 | 36平米 | 西北 | 简装 | 有电梯,低楼层(共16层)1997年建塔楼  -  ,128人关注 / 共0次带看 / 4个月以前发布,
200万,单价27778元/平米,金悦大厦 电梯两房 配套成熟 视野开阔,金悦大厦 , | 2室1厅 | 72平米 | 北 | 简装 | 有电梯,高楼层(共24层)2003年建塔楼  -  ,30人关注 / 共6次带看 / 5个月以前发布,
275万,单价34375元/平米,温馨三房，采光好，通风好，望花园景观好,富丽家园丽水湾 , | 3室1厅 | 80平米 | 北 | 其他 | 有电梯,中楼层(共11层)1995年建塔楼  -  ,1人关注 / 共2次带看 / 28天以前发布,
300万,单价33304元/平米,尚东尚筑 3室2厅 300万,尚东尚筑 , | 3室2厅 | 90.08平米 | 南 北 | 精装 | 有电梯,高楼层(共17层)2011年建塔楼  -  ,9人关注 / 共6次带看 / 23天以前发布,
320万,单价36282元/平米,富丽家园富泽居 3室1厅 320万,富丽家园富泽居 , | 3室1厅 | 88.2平米 | 南 | 简装 | 无电梯,中楼层(共6层)1995年建塔楼  -  ,0人关注 / 共0次带看 / 9天以前发布,
300万,单价24876元/平米,南区大四房 视野开阔 采光通风好 格局靓,锦绣花园南区 , | 4室2厅 | 120.6平米 | 北 | 精装 | 无电梯,中楼层(共7层)1997年建塔楼  -  ,0人关注 / 共0次带看 / 8天以前发布,
198万,单价21783元/平米,朗陶居方正三房 简单装修 配套完善,朗陶居 , | 3室2厅 | 90.9平米 | 东南 | 简装 | 无电梯,高楼层(共7层)2001年建塔楼  -  ,13人关注 / 共3次带看 / 3个月以前发布,
210万,单价27302元/平米,媒体北村 中间楼层  通风采光好,亚运城媒体北村 , | 2室2厅 | 76.92平米 | 北 | 简装,中楼层(共18层)塔楼  -  ,23人关注 / 共22次带看 / 2个月以前发布,
122万,单价17832元/平米,西城路方正2房 厅出阳台 南向通风,西城路10街 , | 2室1厅 | 68.42平米 | 南 | 其他 | 无电梯,中楼层(共7层)1990年建塔楼  -  ,85人关注 / 共25次带看 / 2个月以前发布,
190万,单价30159元/平米,祈福新村山泉居 半山两房空气清新采光好证过五年出售,祈福新村山泉居 , | 2室2厅 | 63平米 | 东北 | 简装 | 无电梯,低楼层(共6层)2004年建板楼  -  ,6人关注 / 共10次带看 / 1个月以前发布,
515万,单价39923元/平米,电梯中层 望江户型 东北向 精装修,广州雅居乐花园剑桥郡 , | 3室2厅 | 129平米 | 东南 东北 | 精装 | 有电梯,中楼层(共26层)2010年建塔楼  -  ,16人关注 / 共13次带看 / 3个月以前发布,
283万,单价30628元/平米,祈福新村翠怡居 3室2厅 283万,祈福新村翠怡居 , | 3室2厅 | 92.4平米 | 南 | 简装 | 无电梯,中楼层(共5层)1995年建板楼  -  ,8人关注 / 共13次带看 / 2个月以前发布,
245万,单价29289元/平米,看房方便，中上楼层，满五唯一！,亚运城媒体南村 , | 2室2厅 | 83.65平米 | 南 | 简装,中楼层(共18层)塔楼  -  ,50人关注 / 共12次带看 / 2个月以前发布,
146万,单价20978元/平米,珠殿苑  公园旁  环境优美  户户型方正,珠殿苑南区 , | 2室1厅 | 69.6平米 | 南 | 简装 | 无电梯,中楼层(共9层)1996年建塔楼  -  ,14人关注 / 共14次带看 / 2个月以前发布,
495万,单价43422元/平米,剑桥郡 君澜街 3房2卫 带车位,广州雅居乐花园剑桥郡 , | 3室2厅 | 114平米 | 东北 | 精装 | 有电梯,低楼层(共15层)2010年建塔楼  -  ,54人关注 / 共0次带看 / 4个月以前发布,
215万,单价23149元/平米,康裕园 三房 格局方正 通风采光好,康裕园 , | 3室2厅 | 92.88平米 | 南 | 简装 | 无电梯,高楼层(共7层)1993年建塔楼  -  ,37人关注 / 共8次带看 / 3个月以前发布,
196万,单价18474元/平米,荷景花园一区 3室2厅 196万,荷景花园一区 , | 3室2厅 | 106.1平米 | 南 | 其他 | 无电梯,高楼层(共6层)1995年建板楼  -  ,25人关注 / 共20次带看 / 1个月以前发布,
95万,单价18092元/平米,奥园养生广场 1室1厅 95万,奥园养生广场 , | 1室1厅 | 52.51平米 | 南 | 其他 | 有电梯,低楼层(共29层)2012年建塔楼  -  ,17人关注 / 共0次带看 / 28天以前发布,
233万,单价29686元/平米,亚运城媒体村，电梯精致两房子 南北通透,亚运城媒体南村 , | 2室2厅 | 78.49平米 | 南 北 | 精装,中楼层(共18层)塔楼  -  ,21人关注 / 共31次带看 / 23天以前发布,
189万,单价17377元/平米,西城花园  低楼层  南向三房,西城花园 , | 3室2厅 | 108.77平米 | 南 北 | 简装 | 无电梯,低楼层(共7层)1998年建塔楼  -  ,7人关注 / 共4次带看 / 20天以前发布,
345万,单价39429元/平米,广州星河湾逸心园 2室2厅 345万,广州星河湾逸心园 , | 2室2厅 | 87.5平米 | 西南 | 精装 | 有电梯,中楼层(共9层)2001年建塔楼  -  ,2人关注 / 共4次带看 / 20天以前发布,
158万,单价23944元/平米,侨斟花园 电梯两房 电梯高层望远景,侨基花园 , | 2室2厅 | 65.99平米 | 东北 | 简装 | 有电梯,中楼层(共32层)1998年建塔楼  -  ,27人关注 / 共38次带看 / 18天以前发布,
215万,单价34790元/平米,华南碧桂园 漾翠苑温馨两房 采光好,华南碧桂园漾翠苑 , | 2室2厅 | 61.8平米 | 东南 | 精装 | 无电梯,中楼层(共7层)2001年建塔楼  -  ,64人关注 / 共5次带看 / 3个月以前发布,
330万,单价29570元/平米,丽江花园星海洲 3室1厅 330万,丽江花园星海洲 , | 3室1厅 | 111.6平米 | 东南 | 简装 | 有电梯,高楼层(共25层)1999年建塔楼  -  ,21人关注 / 共1次带看 / 3个月以前发布,
230万,单价28946元/平米,国庆全天看房，楼层低接地气，小区环境优美,亚运城媒体北村 , | 2室2厅 | 79.46平米 | 南 | 简装 | 有电梯,低楼层(共18层)塔楼  -  ,4人关注 / 共1次带看 / 2个月以前发布,
220万,单价18788元/平米,鸿基花园 大四房带天台 东南向 诚意出售,鸿基花园 , | 4室2厅 | 117.1平米 | 东南 | 简装 | 有电梯,高楼层(共11层)1999年建塔楼  -  ,48人关注 / 共1次带看 / 1个月以前发布,
150万,单价28572元/平米,C区南向二房 过五年 楼层佳  位置安静,祈福新村C区 , | 2室2厅 | 52.5平米 | 南 | 其他 | 无电梯,中楼层(共4层)1995年建板楼  -  ,24人关注 / 共0次带看 / 29天以前发布,
113万,单价19350元/平米,北桥路 装修保养好 不靠涌 南阳里 机关,北桥路 , | 2室1厅 | 58.4平米 | 南 | 简装,高楼层(共4层)板楼  -  ,45人关注 / 共5次带看 / 15天以前发布,
350万,单价41667元/平米,过五唯一四房两厅高楼层南北朝向通风采光好,香缤豪庭 , | 4室2厅 | 84平米 | 南 | 精装 | 有电梯,高楼层(共24层)2011年建塔楼  -  ,1人关注 / 共1次带看 / 12天以前发布,
218万,单价32832元/平米,丽水湾 精装2房 户型方正 北向,富丽家园丽水湾 , | 2室1厅 | 66.4平米 | 北 | 精装 | 有电梯,中楼层(共11层)1995年建塔楼  -  ,2人关注 / 共4次带看 / 10天以前发布,
300万,单价22728元/平米,吉祥北园 3室2厅 300万,吉祥北园 , | 3室2厅 | 132平米 | 南 | 简装 | 无电梯,高楼层(共8层)1993年建塔楼  -  ,0人关注 / 共0次带看 / 6天以前发布,
199万,单价33046元/平米,品质海晴居 大两居 保养新净 靓层 格局实用 祈福新村,祈福新村海晴居 , | 2室2厅 | 60.22平米 | 北 | 精装 | 无电梯,中楼层(共6层)2003年建板楼  -  ,0人关注 / 共0次带看 / 3天以前发布,
250万,单价35441元/平米,君华御府 复式单位 望园景,君华香柏御府 , | 3室2厅 | 70.54平米 | 东南 | 毛坯 | 有电梯,中楼层(共33层)塔楼  -  ,117人关注 / 共6次带看 / 一年前发布,
158万,单价19483元/平米,珠殿苑 实用二房 带门前花园,珠殿苑东区 , | 2室2厅 | 81.1平米 | 南 | 简装 | 无电梯,低楼层(共9层)1996年建塔楼  -  ,186人关注 / 共7次带看 / 9个月以前发布,
216万,单价29590元/平米,国庆节期间全天可以看房,小区管理 南北对流 电梯两房,亚运城媒体南村 , | 2室2厅 | 73平米 | 南 北 | 简装,低楼层(共18层)塔楼  -  ,161人关注 / 共8次带看 / 8个月以前发布,
110万,单价21957元/平米,侨宫苑 小2房 少有放盘 社区配套成熟,侨宫苑 , | 2室1厅 | 50.1平米 | 西 | 其他 | 无电梯,中楼层(共8层)塔楼  -  ,67人关注 / 共17次带看 / 28天以前发布,
465万,单价30078元/平米,康裕北苑 大4房 北向,康裕北苑 , | 4室2厅 | 154.6平米 | 北 | 其他 | 有电梯,高楼层(共12层)2005年建塔楼  -  ,7人关注 / 共0次带看 / 6个月以前发布,
283万,单价31518元/平米,尚东尚筑 装修保养好，四房,尚东尚筑 , | 4室2厅 | 89.79平米 | 南 | 精装 | 有电梯,低楼层(共18层)2008年建塔楼  -  ,33人关注 / 共0次带看 / 一年前发布,
300万,单价28223元/平米,金沙湾花园  精致三房  一楼带花园 位置好,金沙湾花园 , | 3室2厅 | 106.3平米 | 南 | 其他 | 有电梯,低楼层(共11层)2007年建塔楼  -  ,10人关注 / 共0次带看 / 3个月以前发布,
140万,单价21319元/平米,西城路小区 楼龄新 装修保养新净,西城路4街 , | 2室1厅 | 65.67平米 | 南 | 精装,低楼层(共6层)塔楼  -  ,141人关注 / 共39次带看 / 1个月以前发布,
200万,单价19551元/平米,朝阳西路 4室2厅 200万,朝阳西路 , | 4室2厅 | 102.3平米 | 南 | 其他 | 无电梯,低楼层(共7层)塔楼  -  ,0人关注 / 共0次带看 / 31天以前发布,
270万,单价26823元/平米,富庭华园 楼梯中层 东向三房 采光通风好,富庭华园 , | 3室1厅 | 100.66平米 | 东 | 简装 | 无电梯,中楼层(共7层)2002年建塔楼  -  ,3人关注 / 共4次带看 / 13天以前发布,
435万,单价33207元/平米,广州奥林匹克花园 复式4房 南向采光好,广州奥林匹克花园 , | 4室2厅 | 131平米 | 南 | 简装 | 无电梯,高楼层(共7层)2002年建板楼  -  ,172人关注 / 共0次带看 / 一年前发布,
156万,单价18056元/平米,低楼层，实用三房，格局方正实用,光明南路建设大街 , | 3室1厅 | 86.4平米 | 南 | 简装 | 无电梯,中楼层(共4层)1990年建板楼  -  ,4人关注 / 共0次带看 / 一年前发布,
420万,单价30935元/平米,亚运城 运动员 南北直对流 大三房看房有钥匙,亚运城运动员村三区 , | 3室2厅 | 135.77平米 | 南 北 | 精装,中楼层(共11层)塔楼  -  ,8人关注 / 共6次带看 / 3个月以前发布,
385万,单价28011元/平米,运动员村小区中间位置三房，安静舒适视野开阔,亚运城运动员村一区 , | 3室2厅 | 137.45平米 | 南 | 精装 | 有电梯,高楼层(共11层)塔楼  -  ,11人关注 / 共15次带看 / 30天以前发布,
122万,单价24016元/平米,入户花园 小区环境好 交通便利 配套齐,富丽家园莲芳园 , | 2室1厅 | 50.8平米 | 南 | 其他 | 无电梯,低楼层(共6层)1995年建塔楼  -  ,20人关注 / 共12次带看 / 29天以前发布,
205万,单价26479元/平米,祈福水城 2室1厅 205万,祈福水城 , | 2室1厅 | 77.42平米 | 北 | 简装 | 有电梯,中楼层(共11层)2008年建塔楼  -  ,7人关注 / 共8次带看 / 28天以前发布,
320万,单价31969元/平米,君华香柏华府，楼龄新，户型方正,君华香柏华府 , | 4室2厅 | 100.1平米 | 南 | 精装,中楼层(共6层)塔楼  -  ,17人关注 / 共1次带看 / 7个月以前发布,
230万,单价30184元/平米,金海岸花园 满五唯一物业 中楼层 南向舒适两房,金海岸花园金石碧苑 , | 2室2厅 | 76.2平米 | 南 | 精装 | 无电梯,中楼层(共6层)2002年建塔楼  -  ,7人关注 / 共1次带看 / 30天以前发布,
175万,单价22305元/平米,朗陶居 实用大两房  有天台  满五唯一,朗陶居 , | 2室1厅 | 78.46平米 | 东 西 | 简装 | 无电梯,高楼层(共7层)2001年建塔楼  -  ,7人关注 / 共0次带看 / 18天以前发布,
460万,单价38017元/平米,左岸大三房带主套 一线江景 精装修 通风采光好,丽江花园左岸 , | 3室1厅 | 121平米 | 西北 | 精装 | 有电梯,中楼层(共16层)2003年建塔楼  -  ,3人关注 / 共0次带看 / 17天以前发布,
195万,单价28677元/平米,广州碧桂园 一期【雅苑】 中层 视野开阔 两居室方正,广州碧桂园雅苑 , | 2室1厅 | 68平米 | 西北 | 简装 | 无电梯,高楼层(共7层)1998年建塔楼  -  ,8人关注 / 共4次带看 / 16天以前发布,
365万,单价37856元/平米,广州星河湾朗心园 2室2厅 365万,广州星河湾朗心园 , | 2室2厅 | 96.42平米 | 南 北 | 精装 | 有电梯,中楼层(共9层)2001年建塔楼  -  ,2人关注 / 共1次带看 / 15天以前发布,
148万,单价18272元/平米,瑞和园方  正三房  通风采光好,瑞和园 , | 3室1厅 | 81平米 | 南 | 精装 | 无电梯,中楼层(共7层)2002年建塔楼  -  ,22人关注 / 共4次带看 / 15天以前发布,
220万,单价35382元/平米,户型方正 装修保养  采光视野都很好 过五唯一,滨江绿园 , | 2室2厅 | 62.18平米 | 南 | 精装 | 有电梯,中楼层(共11层)2004年建塔楼  -  ,12人关注 / 共6次带看 / 12天以前发布,
240万,单价26374元/平米,沙湾 锦绣世家 精装修 格局方正,敏建锦绣世家 , | 3室2厅 | 91平米 | 北 | 精装 | 有电梯,中楼层(共18层)塔楼  -  ,71人关注 / 共3次带看 / 5个月以前发布,
145万,单价19864元/平米,带天台花园 精装两房 可做3房,荷景花园二区 , | 2室2厅 | 73平米 | 南 北 | 精装 | 无电梯,高楼层(共7层)1995年建塔楼  -  ,38人关注 / 共7次带看 / 3个月以前发布,
